workerid,trial,story,condition,rt,world,activity,Qtype,rating,experiment,eligible
2400,1,17_airplane,before,131267,ordinary,,habitual,100,exclamation,True
2400,2,19_exhibit,after,102207,wonky,habitual,habitual,100,exclamation,True
2400,3,24_laundry,after,95819,wonky,non-habitual,habitual,49.85,exclamation,True
2400,4,21_pizza,after,63281,ordinary,non-habitual,habitual,100,exclamation,True
2400,5,13_bus,before,52005,wonky,,habitual,100,exclamation,True
2400,6,14_clothes,after,44623,ordinary,habitual,habitual,98.05,exclamation,True
2400,1,17_airplane,before,131267,ordinary,,non-habitual,100,exclamation,True
2400,2,19_exhibit,after,102207,wonky,habitual,non-habitual,0,exclamation,True
2400,3,24_laundry,after,95819,wonky,non-habitual,non-habitual,50.87,exclamation,True
2400,4,21_pizza,after,63281,ordinary,non-habitual,non-habitual,100,exclamation,True
2400,5,13_bus,before,52005,wonky,,non-habitual,50.42,exclamation,True
2400,6,14_clothes,after,44623,ordinary,habitual,non-habitual,100,exclamation,True
2400,1,17_airplane,before,131267,ordinary,,script,100,exclamation,True
2400,2,19_exhibit,after,102207,wonky,habitual,script,100,exclamation,True
2400,3,24_laundry,after,95819,wonky,non-habitual,script,51.16,exclamation,True
2400,4,21_pizza,after,63281,ordinary,non-habitual,script,99.09,exclamation,True
2400,5,13_bus,before,52005,wonky,,script,100,exclamation,True
2400,6,14_clothes,after,44623,ordinary,habitual,script,100,exclamation,True
2400,1,17_airplane,before,131267,ordinary,,interaction,49.53,exclamation,True
2400,2,19_exhibit,after,102207,wonky,habitual,interaction,50.27,exclamation,True
2400,3,24_laundry,after,95819,wonky,non-habitual,interaction,50.42,exclamation,True
2400,4,21_pizza,after,63281,ordinary,non-habitual,interaction,99.23,exclamation,True
2400,5,13_bus,before,52005,wonky,,interaction,49.83,exclamation,True
2400,6,14_clothes,after,44623,ordinary,habitual,interaction,49.53,exclamation,True
2401,1,16_baking,after,34987,ordinary,habitual,habitual,98.92,exclamation,True
2401,2,6_swimming,before,51484,wonky,,habitual,99.72,exclamation,True
2401,3,18_hair,before,32569,ordinary,,habitual,99.38,exclamation,True
2401,4,3_feed_dog,after,31414,ordinary,non-habitual,habitual,60.43,exclamation,True
2401,5,10_shampoo,after,38909,wonky,non-habitual,habitual,99.01,exclamation,True
